,Player,Year,Share
630,Aaron Gordon,2021,0.0
631,Austin Rivers,2021,0.0
632,Bol Bol,2021,0.0
633,Facundo Campazzo,2021,0.0
634,Greg Whittington,2021,0.0
635,JaMychal Green,2021,0.0
636,JaVale McGee,2021,0.0
637,Jamal Murray,2021,0.0
638,Markus Howard,2021,0.0
639,Michael Porter Jr.,2021,0.0
640,Monte Morris,2021,0.0
641,Nikola Jokić,2021,0.0
642,PJ Dozier,2021,0.0
643,Paul Millsap,2021,0.0
644,Shaquille Harrison,2021,0.0
645,Vlatko Čančar,2021,0.0
646,Will Barton,2021,0.0
647,Zeke Nnaji,2021,0.0
840,Aaron Holiday,2021,0.0
841,Amida Brimah,2021,0.0
842,Brian Bowen,2021,0.0
843,Caris LeVert,2021,0.0
844,Cassius Stanley,2021,0.0
845,Domantas Sabonis,2021,0.0
846,Doug McDermott,2021,0.0
847,Edmond Sumner,2021,0.0
848,Goga Bitadze,2021,0.0
849,JaKarr Sampson,2021,0.0
850,Jalen Lecque,2021,0.0
851,Jeremy Lamb,2021,0.0
852,Justin Holiday,2021,0.0
853,Kelan Martin,2021,0.0
854,Malcolm Brogdon,2021,0.0
855,Myles Turner,2021,0.0
856,Oshae Brissett,2021,0.0
857,T.J. McConnell,2021,0.0
858,T.J. Warren,2021,0.0
1090,Aaron Nesmith,2021,0.0
1091,Carsen Edwards,2021,0.0
1092,Evan Fournier,2021,0.0
1093,Grant Williams,2021,0.0
1094,Jabari Parker,2021,0.0
1095,Jaylen Brown,2021,0.0
1096,Jayson Tatum,2021,0.0
1097,Kemba Walker,2021,0.0
1098,Luke Kornet,2021,0.0
1099,Marcus Smart,2021,0.0
1100,Payton Pritchard,2021,0.0
1101,Robert Williams,2021,0.0
1102,Romeo Langford,2021,0.0
1103,Semi Ojeleye,2021,0.0
1104,Tacko Fall,2021,0.0
1105,Tremont Waters,2021,0.0
1106,Tristan Thompson,2021,0.0
1386,Abdel Nader,2021,0.0
1387,Cameron Johnson,2021,0.0
1388,Cameron Payne,2021,0.0
1389,Chris Paul,2021,0.0
1390,Dario Šarić,2021,0.0
1391,Deandre Ayton,2021,0.0
1392,Devin Booker,2021,0.0
1393,E'Twaun Moore,2021,0.0
1394,Frank Kaminsky,2021,0.0
1395,Jae Crowder,2021,0.0
1396,Jalen Smith,2021,0.0
1397,Jevon Carter,2021,0.0
1398,Langston Galloway,2021,0.0
1399,Mikal Bridges,2021,0.0
1400,Torrey Craig,2021,0.0
1401,Ty-Shon Alexander,2021,0.0
1679,Adam Mokoka,2021,0.0
1680,Al-Farouq Aminu,2021,0.0
1681,Coby White,2021,0.0
1682,Cristiano Felício,2021,0.0
1683,Daniel Theis,2021,0.0
1684,Denzel Valentine,2021,0.0
1685,Devon Dotson,2021,0.0
1686,Garrett Temple,2021,0.0
1687,Javonte Green,2021,0.0
1688,Lauri Markkanen,2021,0.0
1689,Nikola Vučević,2021,0.0
1690,Patrick Williams,2021,0.0
1691,Ryan Arcidiacono,2021,0.0
1692,Thaddeus Young,2021,0.0
1693,Tomáš Satoranský,2021,0.0
1694,Troy Brown Jr.,2021,0.0
1695,Zach LaVine,2021,0.0
2578,Al Horford,2021,0.0
2579,Aleksej Pokusevski,2021,0.0
2580,Charlie Brown Jr.,2021,0.0
2581,Darius Bazley,2021,0.0
2582,Darius Miller,2021,0.0
2583,Gabriel Deck,2021,0.0
2584,Isaiah Roby,2021,0.0
2585,Jaylen Hoard,2021,0.0
2586,Josh Hall,2021,0.0
2587,Justin Robinson,2021,0.0
2588,Kenrich Williams,2021,0.0
2589,Luguentz Dort,2021,0.0
2590,Mike Muscala,2021,0.0
2591,Moses Brown,2021,0.0
2592,Shai Gilgeous-Alexander,2021,0.0
2593,Svi Mykhailiuk,2021,0.0
2594,Théo Maledon,2021,0.0
2595,Tony Bradley,2021,0.0
2596,Ty Jerome,2021,0.0
3530,Alec Burks,2021,0.0
3531,Derrick Rose,2021,0.0
3532,Elfrid Payton,2021,0.0
3533,Frank Ntilikina,2021,0.0
3534,Immanuel Quickley,2021,0.0
3535,Jared Harper,2021,0.0
3536,Julius Randle,2021,0.0
3537,Kevin Knox,2021,0.0
3538,Mitchell Robinson,2021,0.0
3539,Nerlens Noel,2021,0.0
3540,Norvel Pelle,2021,0.0
3541,Obi Toppin,2021,0.0
3542,RJ Barrett,2021,0.0
3543,Reggie Bullock,2021,0.0
3544,Taj Gibson,2021,0.0
3545,Theo Pinson,2021,0.0
3635,Alen Smailagić,2021,0.0
3636,Andrew Wiggins,2021,0.0
3637,Damion Lee,2021,0.0
3638,Draymond Green,2021,0.0
3639,Eric Paschall,2021,0.0
3640,Gary Payton II,2021,0.0
3641,James Wiseman,2021,0.0
3642,Jordan Bell,2021,0.0
3643,Jordan Poole,2021,0.0
3644,Juan Toscano-Anderson,2021,0.0
3645,Kelly Oubre Jr.,2021,0.0
3646,Kent Bazemore,2021,0.0
3647,Kevon Looney,2021,0.0
3648,Marquese Chriss,2021,0.0
3649,Mychal Mulder,2021,0.0
3650,Nico Mannion,2021,0.0
3651,Stephen Curry,2021,0.0
3725,Alex Caruso,2021,0.0
3726,Alfonzo McKinnie,2021,0.0
3727,Andre Drummond,2021,0.0
3728,Anthony Davis,2021,0.0
3729,Ben McLemore,2021,0.0
3730,Dennis Schröder,2021,0.0
3731,Devontae Cacok,2021,0.0
3732,Jared Dudley,2021,0.0
3733,Kentavious Caldwell-Pope,2021,0.0
3734,Kostas Antetokounmpo,2021,0.0
3735,Kyle Kuzma,2021,0.0
3736,LeBron James,2021,0.0
3737,Marc Gasol,2021,0.0
3738,Markieff Morris,2021,0.0
3739,Montrezl Harrell,2021,0.0
3740,Talen Horton-Tucker,2021,0.0
3741,Wesley Matthews,2021,0.0
3860,Alex Len,2021,0.0
3861,Anthony Gill,2021,0.0
3862,Anžejs Pasečņiks,2021,0.0
3863,Bradley Beal,2021,0.0
3864,Cassius Winston,2021,0.0
3865,Chandler Hutchison,2021,0.0
3866,Daniel Gafford,2021,0.0
3867,Deni Avdija,2021,0.0
3868,Dāvis Bertāns,2021,0.0
3869,Garrison Mathews,2021,0.0
3870,Isaac Bonga,2021,0.0
3871,Ish Smith,2021,0.0
3872,Jerome Robinson,2021,0.0
3873,Raul Neto,2021,0.0
3874,Robin Lopez,2021,0.0
3875,Rui Hachimura,2021,0.0
3876,Russell Westbrook,2021,0.0
3877,Thomas Bryant,2021,0.0
4167,Alize Johnson,2021,0.0
4168,Andre Roberson,2021,0.0
4169,Blake Griffin,2021,0.0
4170,Bruce Brown,2021,0.0
4171,Chris Chiozza,2021,0.0
4172,DeAndre Jordan,2021,0.0
4173,Iman Shumpert,2021,0.0
4174,James Harden,2021,0.0
4175,Jeff Green,2021,0.0
4176,Joe Harris,2021,0.0
4177,Kevin Durant,2021,0.0
4178,Kyrie Irving,2021,0.0
4179,LaMarcus Aldridge,2021,0.0
4180,Landry Shamet,2021,0.0
4181,Mike James,2021,0.0
4182,Nic Claxton,2021,0.0
4183,Noah Vonleh,2021,0.0
4184,Reggie Perry,2021,0.0
4185,Spencer Dinwiddie,2021,0.0
4186,Timothé Luwawu-Cabarrot,2021,0.0
4187,Tyler Johnson,2021,0.0
5323,Amir Coffey,2021,0.0
5324,Daniel Oturu,2021,0.0
5325,DeMarcus Cousins,2021,0.0
5326,Ivica Zubac,2021,0.0
5327,Jay Scrubb,2021,0.0
5328,Kawhi Leonard,2021,0.0
5329,Luke Kennard,2021,0.0
5330,Malik Fitts,2021,0.0
5331,Marcus Morris,2021,0.0
5332,Nicolas Batum,2021,0.0
5333,Patrick Beverley,2021,0.0
5334,Patrick Patterson,2021,0.0
5335,Paul George,2021,0.0
5336,Rajon Rondo,2021,0.0
5337,Reggie Jackson,2021,0.0
5338,Serge Ibaka,2021,0.0
5339,Terance Mann,2021,0.0
5340,Yogi Ferrell,2021,0.0
5579,Anderson Varejão,2021,0.0
5580,Brodric Thomas,2021,0.0
5581,Cedi Osman,2021,0.0
5582,Collin Sexton,2021,0.0
5583,Damyean Dotson,2021,0.0
5584,Dante Exum,2021,0.0
5585,Darius Garland,2021,0.0
5586,Dean Wade,2021,0.0
5587,Dylan Windler,2021,0.0
5588,Isaac Okoro,2021,0.0
5589,Isaiah Hartenstein,2021,0.0
5590,Jarrett Allen,2021,0.0
5591,Jeremiah Martin,2021,0.0
5592,Kevin Love,2021,0.0
5593,Lamar Stevens,2021,0.0
5594,Larry Nance Jr.,2021,0.0
5595,Marques Bolden,2021,0.0
5596,Matthew Dellavedova,2021,0.0
5597,Mfiondu Kabengele,2021,0.0
5598,Quinn Cook,2021,0.0
5599,Taurean Prince,2021,0.0
5600,Thon Maker,2021,0.0
6087,Andre Iguodala,2021,0.0
6088,Bam Adebayo,2021,0.0
6089,Dewayne Dedmon,2021,0.0
6090,Duncan Robinson,2021,0.0
6091,Gabe Vincent,2021,0.0
6092,Goran Dragić,2021,0.0
6093,Jimmy Butler,2021,0.0
6094,KZ Okpala,2021,0.0
6095,Kendrick Nunn,2021,0.0
6096,Max Strus,2021,0.0
6097,Meyers Leonard,2021,0.0
6098,Nemanja Bjelica,2021,0.0
6099,Precious Achiuwa,2021,0.0
6100,Trevor Ariza,2021,0.0
6101,Tyler Herro,2021,0.0
6102,Udonis Haslem,2021,0.0
6103,Victor Oladipo,2021,0.0
7460,Anfernee Simons,2021,0.0
7461,CJ Elleby,2021,0.0
7462,CJ McCollum,2021,0.0
7463,Carmelo Anthony,2021,0.0
7464,Damian Lillard,2021,0.0
7465,Derrick Jones Jr.,2021,0.0
7466,Enes Freedom,2021,0.0
7467,Harry Giles,2021,0.0
7468,Jusuf Nurkić,2021,0.0
7469,Keljin Blevins,2021,0.0
7470,Nassir Little,2021,0.0
7471,Norman Powell,2021,0.0
7472,Robert Covington,2021,0.0
7473,Rondae Hollis-Jefferson,2021,0.0
7474,T.J. Leaf,2021,0.0
7915,Anthony Edwards,2021,0.0
7916,Ashton Hagans,2021,0.0
7917,D'Angelo Russell,2021,0.0
7918,Ed Davis,2021,0.0
7919,Jaden McDaniels,2021,0.0
7920,Jake Layman,2021,0.0
7921,Jarred Vanderbilt,2021,0.0
7922,Jarrett Culver,2021,0.0
7923,Jaylen Nowell,2021,0.0
7924,Jordan McLaughlin,2021,0.0
7925,Josh Okogie,2021,0.0
7926,Juancho Hernangómez,2021,0.0
7927,Karl-Anthony Towns,2021,0.0
7928,Malik Beasley,2021,0.0
7929,Naz Reid,2021,0.0
7930,Ricky Rubio,2021,0.0
8183,Anthony Lamb,2021,0.0
8184,Armoni Brooks,2021,0.0
8185,Avery Bradley,2021,0.0
8186,Bruno Caboclo,2021,0.0
8187,Cameron Oliver,2021,0.0
8188,Cameron Reynolds,2021,0.0
8189,Christian Wood,2021,0.0
8190,D.J. Augustin,2021,0.0
8191,D.J. Wilson,2021,0.0
8192,DaQuan Jeffries,2021,0.0
8193,Danuel House Jr.,2021,0.0
8194,David Nwaba,2021,0.0
8195,Eric Gordon,2021,0.0
8196,Jae'Sean Tate,2021,0.0
8197,John Wall,2021,0.0
8198,Justin Patton,2021,0.0
8199,KJ Martin,2021,0.0
8200,Kelly Olynyk,2021,0.0
8201,Kevin Porter Jr.,2021,0.0
8202,Khyri Thomas,2021,0.0
8203,Ray Spalding,2021,0.0
8204,Sterling Brown,2021,0.0
8615,Anthony Tolliver,2021,0.0
8616,Ben Simmons,2021,0.0
8617,Dakota Mathias,2021,0.0
8618,Danny Green,2021,0.0
8619,Dwight Howard,2021,0.0
8620,Furkan Korkmaz,2021,0.0
8621,Gary Clark,2021,0.0
8622,George Hill,2021,0.0
8623,Isaiah Joe,2021,0.0
8624,Joel Embiid,2021,0.0
8625,Mason Jones,2021,0.0
8626,Matisse Thybulle,2021,0.0
8627,Mike Scott,2021,0.0
8628,Paul Reed,2021,0.0
8629,Rayjon Tucker,2021,0.0
8630,Seth Curry,2021,0.0
8631,Shake Milton,2021,0.0
8632,Terrance Ferguson,2021,0.0
8633,Tobias Harris,2021,0.0
8634,Tyrese Maxey,2021,0.0
8635,Vincent Poirier,2021,0.0
9424,Aron Baynes,2021,0.0
9425,Chris Boucher,2021,0.0
9426,DeAndre' Bembry,2021,0.0
9427,Fred VanVleet,2021,0.0
9428,Freddie Gillespie,2021,0.0
9429,Gary Trent Jr.,2021,0.0
9430,Henry Ellenson,2021,0.0
9431,Jalen Harris,2021,0.0
9432,Khem Birch,2021,0.0
9433,Kyle Lowry,2021,0.0
9434,Malachi Flynn,2021,0.0
9435,OG Anunoby,2021,0.0
9436,Pascal Siakam,2021,0.0
9437,Patrick McCaw,2021,0.0
9438,Paul Watson,2021,0.0
9439,Rodney Hood,2021,0.0
9440,Stanley Johnson,2021,0.0
9441,Yuta Watanabe,2021,0.0
9901,Axel Toupane,2021,0.0
9902,Bobby Portis,2021,0.0
9903,Brook Lopez,2021,0.0
9904,Bryn Forbes,2021,0.0
9905,Donte DiVincenzo,2021,0.0
9906,Elijah Bryant,2021,0.0
9907,Giannis Antetokounmpo,2021,0.0
9908,Jaylen Adams,2021,0.0
9909,Jeff Teague,2021,0.0
9910,Jordan Nwora,2021,0.0
9911,Jrue Holiday,2021,0.0
9912,Justin Jackson,2021,0.0
9913,Khris Middleton,2021,0.0
9914,Mamadi Diakite,2021,0.0
9915,P.J. Tucker,2021,0.0
9916,Pat Connaughton,2021,0.0
9917,Rodions Kurucs,2021,0.0
9918,Sam Merrill,2021,0.0
9919,Thanasis Antetokounmpo,2021,0.0
10664,Bismack Biyombo,2021,0.0
10665,Brad Wanamaker,2021,0.0
10666,Caleb Martin,2021,0.0
10667,Cody Martin,2021,0.0
10668,Cody Zeller,2021,0.0
10669,Devonte' Graham,2021,0.0
10670,Gordon Hayward,2021,0.0
10671,Grant Riller,2021,0.0
10672,Jalen McDaniels,2021,0.0
10673,LaMelo Ball,2021,0.0
10674,Malik Monk,2021,0.0
10675,Miles Bridges,2021,0.0
10676,Nate Darling,2021,0.0
10677,Nick Richards,2021,0.0
10678,P.J. Washington,2021,0.0
10679,Terry Rozier,2021,0.0
10680,Vernon Carey Jr.,2021,0.0
10989,Boban Marjanović,2021,0.0
10990,Dorian Finney-Smith,2021,0.0
10991,Dwight Powell,2021,0.0
10992,JJ Redick,2021,0.0
10993,Jalen Brunson,2021,0.0
10994,Josh Green,2021,0.0
10995,Josh Richardson,2021,0.0
10996,Kristaps Porziņģis,2021,0.0
10997,Luka Dončić,2021,0.0
10998,Maxi Kleber,2021,0.0
10999,Nate Hinton,2021,0.0
11000,Nicolò Melli,2021,0.0
11001,Tim Hardaway Jr.,2021,0.0
11002,Trey Burke,2021,0.0
11003,Tyler Bey,2021,0.0
11004,Tyrell Terry,2021,0.0
11005,Willie Cauley-Stein,2021,0.0
11292,Bogdan Bogdanović,2021,0.0
11293,Brandon Goodwin,2021,0.0
11294,Bruno Fernando,2021,0.0
11295,Cam Reddish,2021,0.0
11296,Clint Capela,2021,0.0
11297,Danilo Gallinari,2021,0.0
11298,De'Andre Hunter,2021,0.0
11299,John Collins,2021,0.0
11300,Kevin Huerter,2021,0.0
11301,Kris Dunn,2021,0.0
11302,Lou Williams,2021,0.0
11303,Nathan Knight,2021,0.0
11304,Onyeka Okongwu,2021,0.0
11305,Skylar Mays,2021,0.0
11306,Solomon Hill,2021,0.0
11307,Tony Snell,2021,0.0
11308,Trae Young,2021,0.0
11344,Bojan Bogdanović,2021,0.0
11345,Derrick Favors,2021,0.0
11346,Donovan Mitchell,2021,0.0
11347,Elijah Hughes,2021,0.0
11348,Ersan İlyasova,2021,0.0
11349,Georges Niang,2021,0.0
11350,Jarrell Brantley,2021,0.0
11351,Joe Ingles,2021,0.0
11352,Jordan Clarkson,2021,0.0
11353,Juwan Morgan,2021,0.0
11354,Matt Thomas,2021,0.0
11355,Mike Conley,2021,0.0
11356,Miye Oni,2021,0.0
11357,Royce O'Neale,2021,0.0
11358,Rudy Gobert,2021,0.0
11359,Trent Forrest,2021,0.0
11360,Udoka Azubuike,2021,0.0
11668,Brandon Clarke,2021,0.0
11669,De'Anthony Melton,2021,0.0
11670,Desmond Bane,2021,0.0
11671,Dillon Brooks,2021,0.0
11672,Grayson Allen,2021,0.0
11673,Ja Morant,2021,0.0
11674,Jaren Jackson Jr.,2021,0.0
11675,John Konchar,2021,0.0
11676,Jonas Valančiūnas,2021,0.0
11677,Jontay Porter,2021,0.0
11678,Justise Winslow,2021,0.0
11679,Killian Tillie,2021,0.0
11680,Kyle Anderson,2021,0.0
11681,Sean McDermott,2021,0.0
11682,Tim Frazier,2021,0.0
11683,Tyus Jones,2021,0.0
11684,Xavier Tillman Sr.,2021,0.0
11767,Brandon Ingram,2021,0.0
11768,Didi Louzada,2021,0.0
11769,Eric Bledsoe,2021,0.0
11770,Isaiah Thomas,2021,0.0
11771,James Johnson,2021,0.0
11772,James Nunnally,2021,0.0
11773,Jaxson Hayes,2021,0.0
11774,Josh Hart,2021,0.0
11775,Kira Lewis Jr.,2021,0.0
11776,Lonzo Ball,2021,0.0
11777,Naji Marshall,2021,0.0
11778,Nickeil Alexander-Walker,2021,0.0
11779,Steven Adams,2021,0.0
11780,Wenyen Gabriel,2021,0.0
11781,Wes Iwundu,2021,0.0
11782,Will Magnay,2021,0.0
11783,Willy Hernangómez,2021,0.0
11784,Zion Williamson,2021,0.0
12489,Buddy Hield,2021,0.0
12490,Chimezie Metu,2021,0.0
12491,Chris Silva,2021,0.0
12492,Damian Jones,2021,0.0
12493,De'Aaron Fox,2021,0.0
12494,Delon Wright,2021,0.0
12495,Glenn Robinson III,2021,0.0
12496,Harrison Barnes,2021,0.0
12497,Hassan Whiteside,2021,0.0
12498,Jahmi'us Ramsey,2021,0.0
12499,Justin James,2021,0.0
12500,Kyle Guy,2021,0.0
12501,Louis King,2021,0.0
12502,Marvin Bagley III,2021,0.0
12503,Maurice Harkless,2021,0.0
12504,Richaun Holmes,2021,0.0
12505,Robert Woodard II,2021,0.0
12506,Terence Davis,2021,0.0
12507,Tyrese Haliburton,2021,0.0
12917,Chasson Randle,2021,0.0
12918,Chuma Okeke,2021,0.0
12919,Cole Anthony,2021,0.0
12920,Devin Cannady,2021,0.0
12921,Donta Hall,2021,0.0
